fold,unique_subject,clip_id,unique_clip,true_label,pred_label,prob_0,prob_1
1,BJ_0,1,BJ_0_clip_1,1,0,0.54146653,0.45853347
1,BJ_0,10,BJ_0_clip_10,1,0,0.60238653,0.39761353
1,BJ_0,11,BJ_0_clip_11,1,0,0.5962869,0.40371317
1,BJ_0,12,BJ_0_clip_12,1,0,0.5842062,0.41579372
1,BJ_0,13,BJ_0_clip_13,1,0,0.5578136,0.44218642
1,BJ_0,14,BJ_0_clip_14,1,0,0.58446825,0.41553175
1,BJ_0,15,BJ_0_clip_15,1,1,0.48548523,0.5145148
1,BJ_0,16,BJ_0_clip_16,1,0,0.6385354,0.36146462
1,BJ_0,17,BJ_0_clip_17,1,1,0.48004547,0.51995456
1,BJ_0,18,BJ_0_clip_18,1,1,0.42745578,0.5725443
1,BJ_0,19,BJ_0_clip_19,1,0,0.50604105,0.49395892
1,BJ_0,2,BJ_0_clip_2,1,1,0.4538894,0.54611063
1,BJ_0,20,BJ_0_clip_20,1,1,0.3387463,0.66125375
1,BJ_0,3,BJ_0_clip_3,1,1,0.49511427,0.50488573
1,BJ_0,4,BJ_0_clip_4,1,1,0.47029606,0.529704
1,BJ_0,5,BJ_0_clip_5,1,0,0.5567334,0.4432665
1,BJ_0,6,BJ_0_clip_6,1,0,0.6078809,0.39211914
1,BJ_0,7,BJ_0_clip_7,1,0,0.5854247,0.41457534
1,BJ_0,8,BJ_0_clip_8,1,0,0.5859367,0.41406325
1,BJ_0,9,BJ_0_clip_9,1,0,0.5044022,0.49559784
1,BJ_14,1,BJ_14_clip_1,1,0,0.62994885,0.37005115
1,BJ_14,10,BJ_14_clip_10,1,0,0.62904584,0.37095413
1,BJ_14,11,BJ_14_clip_11,1,0,0.6289667,0.37103328
1,BJ_14,12,BJ_14_clip_12,1,0,0.5975691,0.40243086
1,BJ_14,13,BJ_14_clip_13,1,0,0.5193196,0.48068038
1,BJ_14,14,BJ_14_clip_14,1,0,0.50937396,0.49062604
1,BJ_14,15,BJ_14_clip_15,1,0,0.531671,0.46832904
1,BJ_14,16,BJ_14_clip_16,1,0,0.6332,0.36680007
